question_id,label
0,7
1,7
2,4
3,7
4,3
5,2
6,9
7,6
8,2
9,3
10,3
11,6
12,8
13,4
14,8
15,5
16,8
17,1
18,0
19,1
20,5
21,7
22,9
23,8
24,9
25,8
26,4
27,0
28,3
29,4
30,8
31,1
32,0
33,0
34,9
35,4
36,9
37,5
38,4
39,2
40,6
41,1
42,2
43,6
44,2
45,7
46,9
47,4
48,7
49,7
50,2
51,2
52,7
53,8
54,6
55,2
56,2
57,8
58,1
59,9
60,1
61,2
62,3
63,0
64,7
65,2
66,1
67,5
68,3
69,0
70,8
71,3
72,6
73,1
74,9
75,0
76,9
77,8
78,7
79,2
80,2
81,6
82,7
83,4
84,4
85,9
86,8
87,2
88,7
89,4
90,1
91,0
92,4
93,8
94,3
95,7
96,1
97,2
98,8
99,4
100,0
101,5
102,1
103,7
104,6
105,0
106,2
107,7
108,0
109,5
